Card Name,Original Yu-Gi-Oh! Page,Matched TCG Snapshot,Passcode,Status,Attribute,Type,Level,Rank,Link Rating,Link Arrows,Pendulum Scale,ATK,DEF,Spell/Trap Property,Summoning Condition,Pendulum Effect / Condition,Lore / Effect / Description,Supports,Anti-Supports,Card Actions,Effect Types
Cyclon Laser,7,Yes,,,SPELL,,,,,,,,,Equip,,,"You can only equip this card to ""Gradius"". Increase the ATK of ""Gradius"" by 300 points. When the equipped ""Gradius"" attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.",Gradius,,,Condition/Continuous-like
D.D. Warrior,7,Yes,,,EARTH,[Warrior/Effect],4,,,,,1200,1000,,,,"After damage calculation, if this card battled a monster: Banish that monster, also banish this card.",,,,Trigger
Dark Assailant,7,Yes,,,DARK,[Zombie/Normal],4,,,,,1200,1200,,,,"Armed with the Psycho Sword, this sinister assassin rules the bad land.",,,,
Dark Bat,7,Yes,,,WIND,[Winged Beast/Normal],3,,,,,1000,1000,,,,Bats from the netherworld that use their hyper senses to detect their enemies.,,,,
Dark Chimera,7,No,,,,,,,,,,,,,,,,,,,
Dark Dragon Ritual,7,Yes,,,SPELL,,,,,,,,,Ritual,,,"This card is used to Ritual Summon ""Paladin of Dark Dragon"". You must also Tribute monsters from your hand or field whose total Levels equal 4 or more. During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY; add 1 ""Red-Eyes"" Spell/Trap from your Deck to your hand.",Supports archetypes /Red-Eyes,,Tributes as an effect/Activates from your Graveyard/Adds from Deck to hand,Effect/Ignition-like
Dark Flare Knight,7,Yes,,,DARK,[Warrior/Fusion?Effect],6,,,,,2200,800,,"Dark Magician + ""Flame Swordsman""",,"You take no Battle Damage from battles involving this card. When this card is destroyed by battle and sent to the Graveyard: Special Summon 1 ""Mirage Knight"" from your hand or Deck.",Mirage Knight,,Activates if destroyed by battle/Activates from your Graveyard,Continuous/Trigger
Dark Gremlin,7,No,,,,,,,,,,,,,,,,,,,
Dark Hole,7,Yes,,,SPELL,,,,,,,,,,,,Destroy all monsters on the field.,,,,Effect
Dark Jeroid,7,Yes,,,DARK,[Fiend/Effect],4,,,,,1200,1500,,,,If this card is Summoned: Target 1 face-up monster on the field; it loses 800 ATK.,,,,Trigger
Dark Magic Ritual,7,No,,,,,,,,,,,,,,,,,,,
Dark Magician,7,Yes,,,DARK,[Spellcaster/Normal],7,,,,,2500,2100,,,,The ultimate wizard in terms of attack and defense.,,,,
Dark Magician Girl,7,Yes,,,DARK,[Spellcaster/Effect],6,,,,,2000,1700,,,,"Gains 300 ATK for every ""Dark Magician"" or ""Magician of Black Chaos"" in the GYs.",Dark Magician/Magician of Black Chaos,,,Continuous
Dark Paladin,7,Yes,,,DARK,[Spellcaster/Fusion?Effect],8,,,,,2900,2400,,"Dark Magician + ""Buster Blader""",,"Must be Fusion Summoned. When a Spell Card is activated (Quick Effect): You can discard 1 card; negate the activation, and if you do, destroy it. This card must be face-up on the field to activate and to resolve this effect. Gains 500 ATK for each Dragon monster on the field and in the GYs.",Dragon,Dragon,Discards for cost,Summon/Quick/Condition/Continuous
Dark Rabbit,7,Yes,,,DARK,[Beast/Normal],4,,,,,1100,1500,,,,"He leaps up, down, and all around! Nobody can lay a hand on this funny bunny.",,,,
Dark Sage,7,Yes,,,DARK,[Spellcaster/Effect],9,,,,,2800,3200,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand or Deck) by Tributing 1 ""Dark Magician"" immediately after applying the effect of ""Time Wizard"" in which you called the coin toss right. When Special Summoned this way: Add 1 Spell Card from your Deck to your hand.",Dark Magician/Time Wizard,,Tributes for cost/Adds from Deck to hand,Summon/Trigger
Dark Sanctuary,7,Yes,,,SPELL,,,,,,,,,Field,,,"If a ""Spirit Message"" card would be placed on your field with ""Destiny Board"", you can Special Summon it as a Normal Monster (Fiend/DARK/Level 1/ATK 0/DEF 0) instead, and if you do, it is unaffected by card effects, except ""Destiny Board"", and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly. When an opponent's monster declares an attack: Toss a coin and if the result is heads, negate the attack, and if you do, inflict damage to your opponent equal to half the current ATK of that opponent's monster.",Supports archetypes /Spirit Message,,Activates upon attack declaration,Continuous-like/Trigger-like
Dark Wall of Wind,7,No,,,,,,,,,,,,,,,,,,,
Dark Zebra,7,Yes,,,EARTH,[Beast/Effect],4,,,,,1800,400,,,,"If this is the only card in your control during your Standby Phase, it is automatically placed in Defense Position. You cannot change the position of this card during the same turn.",,,Changes battle positions/Prevents Battle Position changes,Trigger
Dark-Eyes Illusionist,7,Yes,,,DARK,[Spellcaster/Flip?Effect],2,,,,,0,1400,,,,FLIP: Target 1 monster on the field; it cannot attack while this card is face-up on the field.,,,Activates upon being flipped face-up,Flip
Data Brain,7,No,,,,,,,,,,,,,,,,,,,
De-Spell,7,Yes,,,SPELL,,,,,,,,,,,,"Target 1 face-up Spell, or 1 Set Spell/Trap, on the field; destroy that target if it is a Spell. (If the target is Set, reveal it.)",,,Reveals face-down cards,Effect
Deepest Impact,8,No,,,,,,,,,,,,,,,,,,,
Defender Iceberg,8,No,,,,,,,,,,,,,,,,,,,
Des Volstgalph,8,Yes,,,EARTH,[Dragon/Effect],6,,,,,2200,1700,,,,"If this card destroys an opponent's monster by battle and sends it to the Graveyard: Inflict 500 damage to your opponent. Each time a Normal or Quick-Play Spell Card resolves, this card gains 200 ATK until the end of this turn.",Normal Spell Card/Quick-Play Spell Card,Normal Spell Card/Quick-Play Spell Card,Activates when it destroys a monster by battle,Trigger/Continuous
Diamond Head Dragon,8,No,,,,,,,,,,,,,,,,,,,
Dice Dungeon,8,Yes,,,SPELL,,,,,,,,,Field,,,"When this card is activated: You can add 1 ""Dimension Dice"" from your Deck to your hand. At the start of the Battle Phase: You can activate this effect; each player rolls a six-sided die and applies the result to all monsters they control, until the end of this turn.?1: Lose 1000 ATK.?2: Gain 1000 ATK.?3: Lose 500 ATK.?4: Gain 500 ATK.?5: Halve their ATK.?6: Double their ATK.",Dimension Dice,,Adds from Deck to hand,Effect/Trigger-like
Different Dimension Dragon,8,Yes,,,LIGHT,[Dragon/Effect],5,,,,,1200,1500,,,,This card cannot be destroyed by Spell/Trap effects that do not target it. This card cannot be destroyed by battle with a monster that has 1900 or less ATK.,,,,Continuous
Diffusion Wave-Motion,8,Yes,,,SPELL,,,,,,,,,,,,"(This card is not treated as a ""Fusion"" card.)If your opponent controls a monster: Pay 1000 LP, then target 1 Level 7 or higher Spellcaster monster you control; this turn, it must attack all monsters your opponent controls once each, also other monsters you control cannot attack. The effects of monsters destroyed by these attacks cannot activate and are negated.",Spellcaster,,,Condition/Cost/Effect
Dimension Dice,8,Yes,,,SPELL,,,,,,,,,,,,If you control a card with an effect that requires a die roll: You can Tribute 1 monster; Special Summon 1 monster with an effect that requires a die roll from your hand or Deck.,,,Tributes for cost,Effect
Dimensionhole,8,Yes,,,SPELL,,,,,,,,,,,,"Select 1 monster on your side of the field and remove it from play until your next Standby Phase. While the monster is removed from play, the Monster Card Zone of the selected monster cannot be used.",,,Returns banished cards to the field,Effect/Lingering
Doll of Demise,8,No,,,,,,,,,,,,,,,,,,,
Doma The Angel of Silence,8,Yes,,,DARK,[Fairy/Normal],5,,,,,1600,1400,,,,This fairy rules over the end of existence.,,,,
Doppleganger,8,No,,,,,,,,,,,,,,,,,,,
Double Cloth Armor,8,No,,,,,,,,,,,,,,,,,,,
Double Magical Arm Bind,8,Yes,,,TRAP,,,,,,,,,,,,"Tribute 2 monsters, then target 2 face-up monsters your opponent controls; take control of both targets until your End Phase.",,,Tributes for cost/Changes control,Cost/Effect
Dragon Capture Jar,8,Yes,,,TRAP,,,,,,,,,Continuous,,,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.",,Dragon,Changes battle positions/Prevents Battle Position changes,Continuous-like
Dragon Master Knight,8,Yes,,,LIGHT,[Dragon/Fusion?Effect],12,,,,,5000,5000,,"Black Luster Soldier + ""Blue-Eyes Ultimate Dragon""",,"Must be Fusion Summoned. This card gains 500 ATK for each Dragon monster you control, except this card.",Dragon,,,Summon/Continuous
Dragon Nails,8,Yes,,,SPELL,,,,,,,,,Equip,,,"Equip only to a DARK monster. It gains 600 ATK, also it cannot be destroyed by your opponent's card effects. If this card is sent to the GY because the equipped monster was destroyed by battle and sent to the GY: You can Special Summon that monster, and if you do, equip this card to it, but banish this card when it leaves the field. You can only use this effect of ""Dragon Nails"" once per turn.",DARK,,Equips self from Graveyard,Condition/Continuous/Trigger-like/Condition
Dragon Piper,8,Yes,,,FIRE,[Pyro/Flip?Effect],3,,,,,200,1800,,,,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position.",Dragon,Dragon Capture Jar,Activates upon being flipped face-up/Changes battle positions,Flip
Dragon Revival Ritual,8,No,,,,,,,,,,,,,,,,,,,
Dragon Seeker,8,Yes,,,DARK,[Fiend/Effect],6,,,,,2000,2100,,,,"When this card is Normal Summoned or Flip Summoned, destroy 1 face-up Dragon-Type monster on the field.",,Dragon,Activates upon Normal Summon/Activates upon Flip Summon,Trigger
Dragon Zombie,8,Yes,,,DARK,[Zombie/Normal],3,,,,,1600,0,,,,A dragon revived by sorcery. Its breath is highly corrosive.,,,,
Dragon's Rage,8,Yes,,,TRAP,,,,,,,,,Continuous,,,"If your Dragon monster attacks a Defense Position monster, inflict piercing battle damage to your opponent.",Dragon,,,Continuous-like
Dragoness the Wicked Knight,8,Yes,,,WIND,[Warrior/Fusion],3,,,,,1200,900,,,,"Armaill + ""One-Eyed Shield Dragon""",,,,
Dreamsprite,8,Yes,,,LIGHT,[Plant/Effect],2,,,,,300,200,,,,"When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage.",,,,Trigger
Driving Snow,9,Yes,,,TRAP,,,,,,,,,,,,You can activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.,,,,Activation requirement/Effect
Drop Off,9,Yes,,,TRAP,,,,,,,,,,,,When your opponent draws for their normal draw in their Draw Phase: Your opponent discards 1 card they just drew.,,,Your opponent discards,Activation requirement/Effect
Duelist's Glove,9,No,,,,,,,,,,,,,,,,,,,
Dunames Dark Witch,9,Yes,,,LIGHT,[Fairy/Normal],4,,,,,1800,1050,,,,"Even when all odds are against this brave fairy, she will press onwards in battle and never retreat.",,,,
Dungeon Worm,9,Yes,,,EARTH,[Insect/Normal],5,,,,,1800,1500,,,,"Hidden under the floors of a labyrinth, it swallows any who pass above.",,,,
Dust Tornado,9,Yes,,,TRAP,,,,,,,,,,,,"Target 1 Spell/Trap your opponent controls; destroy that target, then you can Set 1 Spell/Trap from your hand.",,,Sets from your hand,Effect
Earthshaker,9,Yes,,,TRAP,,,,,,,,,,,,Select 2 Monster Card Attributes. Your opponent then selects 1 of the 2 Attributes and destroys all face-up monsters with that Attribute on the field.,,,Declares an Attribute,Effect
Ectoplasmer,9,Yes,,,SPELL,,,,,,,,,Continuous,,,"Once per turn, during each player's End Phase: The turn player must Tribute 1 face-up monster, and if they do, inflict damage to their opponent equal to half the original ATK of the Tributed monster.",,,Tributes as an effect/Tributes opponent's monsters,Trigger-like
Electric Lizard,9,Yes,,,EARTH,[Thunder/Effect],3,,,,,850,800,,,,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",Zombie,,,Trigger
Electromagnetic Turtle,9,Yes,,,LIGHT,[Machine/Effect],4,,,,,0,1800,,,,"During your opponent's Battle Phase (Quick Effect): You can banish this card from your GY; end the Battle Phase. You can only use this effect of ""Electromagnetic Turtle"" once per Duel.",,,Activates from your Graveyard/Ends the Battle Phase,Quick/Condition
Elegant Egotist,9,Yes,,,SPELL,,,,,,,,,,,,"If ""Harpie Lady"" is on the field: Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or Deck.",Harpie Lady/Harpie Lady Sisters,,,Activation requirement/Effect
Elf's Light,9,Yes,,,SPELL,,,,,,,,,Equip,,,A LIGHT monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,LIGHT,LIGHT,,Continuous-like
Enemy Controller,9,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"Activate 1 of these effects;?Target 1 face-up monster your opponent controls; change that target's battle position.?Tribute 1 monster, then target 1 face-up monster your opponent controls; take control of that target until the End Phase.",,,Tributes for cost/Changes control/Changes battle positions,Condition/Effect/Cost
Energy Drain,9,Yes,,,TRAP,,,,,,,,,,,,"Target 1 face-up monster you control; it gains 200 ATK/DEF for each card your opponent currently has in their hand, until the end of this turn.",,,,Effect
Eradicating Aerosol,9,Yes,,,SPELL,,,,,,,,,,,,Destroy all Insect monsters on the field.,,Insect,,Effect
Excalibur,9,No,,,,,,,,,,,,,,,,,,,
Exile of the Wicked,9,Yes,,,SPELL,,,,,,,,,,,,Destroy all Fiend monsters on the field.,,Fiend,,Effect
Exodia Necross,9,Yes,,,DARK,[Spellcaster/Effect],4,,,,,1800,0,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Contract with Exodia"". Cannot be destroyed by battle or Spell/Trap effects. Once per turn, during your Standby Phase: This card gains 500 ATK. Destroy this card unless all 5 of these cards are in your GY, ""Exodia the Forbidden One"", ""Right Arm of the Forbidden One"", ""Left Arm of the Forbidden One"", ""Right Leg of the Forbidden One"" and ""Left Leg of the Forbidden One"".",Contract with Exodia/Exodia the Forbidden One/Right Arm of the Forbidden One/Left Arm of the Forbidden One/Right Leg of the Forbidden One/Left Leg of the Forbidden One,,,Summon/Continuous/Trigger
Exodia the Forbidden One,9,Yes,,,DARK,[Spellcaster/Effect],3,,,,,1000,1000,,,,"If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel.",Right Leg of the Forbidden One/Left Leg of the Forbidden One/Right Arm of the Forbidden One/Left Arm of the Forbidden One,,Activates from your hand,Condition
Extinction Fist,9,No,,,,,,,,,,,,,,,,,,,
Fairy Box,9,Yes,,,TRAP,,,,,,,,,Continuous,,,"When your opponent's monster declares an attack: Toss a coin and call it. If you call it right, the attacking monster's ATK becomes 0 until the end of the Battle Phase. Once per turn, during your Standby Phase, pay 500 LP, or destroy this card.",,,Activates upon attack declaration,Trigger-like/Maintenance cost
Fairy Meteor Crush,9,Yes,,,SPELL,,,,,,,,,Equip,,,"If the equipped monster attacks a Defense Position monster, inflict piercing battle damage to your opponent.",,,,Continuous-like
Fairy's Gift,9,Yes,,,LIGHT,[Spellcaster/Normal],4,,,,,1400,1000,,,,This flying monster is known for delivering happiness to all.,,,,
Fairy's Hand Mirror,9,Yes,,,TRAP,,,,,,,,,,,,When your opponent activates a Spell Card that targets exactly 1 monster (and no other cards) on the field: Target another card that would be an appropriate target; that Spell now targets the new target.,,,,Activation requirement/Effect
Fang of Critias,10,No,,,,,,,,,,,,,,,,,,,
Feral Imp,10,Yes,,,DARK,[Fiend/Normal],4,,,,,1300,1400,,,,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.",,,,
Fiber Jar,10,Yes,,,EARTH,[Plant/Flip?Effect],3,,,,,500,500,,,,"FLIP: Each player shuffles all cards from their hand, field, and Graveyard into the Deck, then draws 5 cards.",,,Returns from hand to Deck/Returns from field to Deck/Returns from Graveyard to Deck/You draw cards/Your opponent draws cards,Flip
Fiend Kraken,10,Yes,,,WATER,[Aqua/Normal],4,,,,,1200,1400,,,,A giant squid that drags its enemies to a watery grave.,,,,
Final Attack Orders,10,Yes,,,TRAP,,,,,,,,,Continuous,,,All face-up monsters on the field are changed to Attack Position and their battle positions cannot be changed.,,,Changes battle positions/Prevents Battle Position changes,Continuous-like
Fire Princess,10,Yes,,,FIRE,[Pyro/Effect],4,,,,,1300,1500,,,,"Each time you gain Life Points, inflict 500 damage to your opponent.",,,Activates if you gain LP,Continuous
Fire Sorcerer,10,Yes,,,FIRE,[Spellcaster/Flip?Effect],4,,,,,1000,1500,,,,FLIP: Banish 2 random cards from your hand; inflict 800 damage to your opponent.,,,,Flip
Fire Whip,10,No,,,,,,,,,,,,,,,,,,,
Fissure,10,Yes,,,SPELL,,,,,,,,,,,,"Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied).",,,,Effect
Five Star Twilight,10,Yes,,,SPELL,,,,,,,,,,,,"If the only monster you control is 1 Level 5 monster: Tribute that monster; Special Summon 5 monsters (1 ""Kuribah"", 1 ""Kuribee"", 1 ""Kuriboo"", 1 ""Kuribeh"", and 1 ""Kuriboh"") from your hand, Deck, and/or GY, but they cannot be Tributed for a Tribute Summon. You can only activate 1 ""Five Star Twilight"" per turn.",Kuribah/Kuribee/Kuriboo/Kuribeh/Kuriboh,,Tributes for cost,Activation requirement/Cost/Effect/Condition
Flame Swordsman,10,Yes,,,FIRE,[Warrior/Fusion],5,,,,,1800,1600,,,,"Flame Manipulator + ""Masaki the Legendary Swordsman""",,,,
Flying Elephant,10,Yes,,,WIND,[Beast/Effect],4,,,,,1850,1300,,,,"Once per opponent's turn, if this card would be destroyed by their card effect, it is not destroyed. Once per turn, during their End Phase, if that effect was applied this turn: Apply the following effect.??During your next turn, if this card inflicts battle damage to your opponent by a direct attack, you win the Duel.",,,Activates when it inflicts battle damage,Continuous/Trigger/Condition
Flying Fish,10,Yes,,,WIND,[Fish/Normal],4,,,,,800,500,,,,Three wishes are granted to those fortunate enough to see this monster in flight.,,,,
Flying Kamakiri #1,10,Yes,,,WIND,[Insect/Effect],4,,,,,1400,900,,,,When this card is destroyed by battle and sent to the GY: You can Special Summon 1 WIND monster with 1500 or less ATK from your Deck in Attack Position.,WIND,,Activates from your Graveyard,Trigger
Flying Kamakiri #2,10,Yes,,,WIND,[Insect/Normal],4,,,,,1500,800,,,,A flying mantis that feeds primarily on insects.,,,,
Flying Penguin,10,Yes,,,WATER,[Aqua/Normal],4,,,,,1200,1000,,,,A very rare penguin that takes to the air with ears shaped like wings.,,,,
Foolish Burial,10,Yes,,,SPELL,,,,,,,,,,,,Send 1 monster from your Deck to the GY.,,,Sends from your Deck to your Graveyard,Effect
Fortress Whale,10,Yes,,,WATER,[Fish/Ritual],7,,,,,2350,2150,,,,"You can Ritual Summon this card with ""Fortress Whale's Oath"".",,,,
Fortress Whale's Oath,10,Yes,,,SPELL,,,,,,,,,Ritual,,,"This card is used to Ritual Summon ""Fortress Whale"". You must also Tribute monsters from your hand or field whose total Levels equal 7 or more.",,,Tributes as an effect,Effect
Full Armor Gravitation,10,No,,,,,,,,,,,,,,,,,,,
Full Moon,10,No,,,,,,,,,,,,,,,,,,,
Gaia the Dragon Champion,10,Yes,,,WIND,[Dragon/Fusion],7,,,,,2600,2100,,,,"Gaia The Fierce Knight + ""Curse of Dragon""",,,,
Gaia The Fierce Knight,10,Yes,,,EARTH,[Warrior/Normal],7,,,,,2300,2100,,,,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.,,,,
Gamble,10,Yes,,,TRAP,,,,,,,,,,,,"You can only activate this card when your opponent's hand is 6 or more cards and your hand is 2 or less. Toss a coin and call heads or tails. If you call it right, draw until your hand has 5 cards. If you call it wrong, skip your next turn.",,,You draw cards/Skips a turn,Activation requirement/Effect
Garoozis,11,Yes,,,FIRE,[Beast-Warrior/Normal],5,,,,,1800,1500,,,,An axe-swinging beast-warrior with the head of a dragon.,,,,
Gate Guardian,11,Yes,,,DARK,[Warrior/Effect],11,,,,,3750,3400,,,,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 ""Sanga of the Thunder"", ""Kazejin"", and ""Suijin"".",Sanga of the Thunder/Kazejin/Suijin,,Tributes for cost,Summon
Gear Golem the Moving Fortress,11,Yes,,,EARTH,[Machine/Effect],4,,,,,800,2200,,,,"Once per turn, during your Main Phase 1: You can pay 800 LP; this card can attack your opponent directly this turn.",,,,Ignition
Gearfried the Iron Knight,11,Yes,,,EARTH,[Warrior/Effect],4,,,,,1800,1600,,,,If either player equips an Equip Card(s) to this card: Destroy that Equip Card(s).,,Equip Card,,Trigger
Gearfried the Swordmaster,11,Yes,,,LIGHT,[Warrior/Effect],7,,,,,2600,2200,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Release Restraint"". Each time an Equip Card(s) is equipped to this card: Target 1 monster your opponent controls; destroy that target.",Release Restraint/Equip Card,,,Summon/Trigger
Giant Germ,11,Yes,,,DARK,[Fiend/Effect],2,,,,,1000,100,,,,"When this card is destroyed by battle and sent to the Graveyard: Inflict 500 damage to your opponent, then you can Special Summon any number of ""Giant Germs"" from your Deck in face-up Attack Position.",,,Activates if destroyed by battle/Activates from your Graveyard,Trigger
Giant Red Seasnake,11,Yes,,,WATER,[Aqua/Normal],4,,,,,1800,800,,,,A sea-dwelling snake that attacks passing enemies with its sharp teeth.,,,,
Giant Soldier of Stone,11,Yes,,,EARTH,[Rock/Normal],3,,,,,1300,2000,,,,A giant warrior made of stone. A punch from this creature has earth-shaking results.,,,,
Giant Trunade,11,Yes,,,SPELL,,,,,,,,,,,,Return all Spell and Trap Cards on the field to the hand.,,,Returns from field to hand,Effect
Gift of The Mystical Elf,11,Yes,,,TRAP,,,,,,,,,,,,Gain 300 LP for each monster on the field.,,,,Effect
Giga-Tech Wolf,11,Yes,,,FIRE,[Machine/Normal],4,,,,,1200,1400,,,,An iron wolf with razor-sharp fangs that can penetrate any armor.,,,,
Gil Garth,11,Yes,,,DARK,[Fiend/Normal],4,,,,,1800,1200,,,,This steel-armored terror machine ruthlessly strikes down enemies with its giant katana.,,,,
Gilasaurus,11,Yes,,,EARTH,[Dinosaur/Effect],3,,,,,1400,400,,,,You can Special Summon this card (from your hand). If Summoned this way: Activate this effect; your opponent can Special Summon 1 monster from their GY.,,,,Unclassified/Trigger
Gilford the Lightning,11,Yes,,,LIGHT,[Warrior/Effect],8,,,,,2800,1400,,,,You can Tribute 3 monsters to Tribute Summon (but not Set) this card. If Summoned this way: Destroy all monsters your opponent controls.,,,Activates upon Tribute Summon,Summon/Trigger
Giltia the D. Knight,11,Yes,,,LIGHT,[Warrior/Fusion],5,,,,,1850,1500,,,,"Guardian of the Labyrinth + ""Protector of the Throne""",,,,
Glory of the King's Hand,11,No,,,,,,,,,,,,,,,,,,,
Goblin Attack Force,11,Yes,,,EARTH,[Warrior/Effect],4,,,,,2300,0,,,,"If this card attacks, it is changed to Defense Position at the end of the Battle Phase, and its battle position cannot be changed until the End Phase of your next turn.",,,Changes battle positions/Prevents Battle Position changes,Continuous
Gokibore,11,Yes,,,EARTH,[Insect/Normal],4,,,,,1200,1400,,,,"A large, spherical roach that attacks its enemies by rolling over them.",,,,
Gorgon's Eye,11,Yes,,,TRAP,,,,,,,,,,,,"Until the end of this turn, all effects of Defense Position monsters are negated.",,,,Effect
Gorlag,11,No,,,,,,,,,,,,,,,,,,,
Graceful Charity,11,Yes,,,SPELL,,,,,,,,,,,,"Draw 3 cards, then discard 2 cards.",,,You draw cards/You discard/Discards for effect,Effect
Graceful Dice,11,Yes,,,SPELL,,,,,,,,,Quick-Play,,,"Roll a six-sided die. All monsters you currently control gain ATK/DEF equal to the result x 100, until the end of this turn.",,,,Effect
Gradius,11,Yes,,,LIGHT,[Machine/Normal],4,,,,,1200,800,,,,A high-performance jet fighter with power capsules for variable attack capabilities.,,,,
Grand Tiki Elder,11,Yes,,,DARK,[Fiend/Normal],4,,,,,1500,800,,,,A masked monster that wields the most deadly of curses.,,,,
Grave Arm,12,No,,,,,,,,,,,,,,,,,,,
Graverobber,12,Yes,,,TRAP,,,,,,,,,,,,"Select 1 Spell Card from your opponent's Graveyard. You can use it as your hand until the end of the turn. If you use it, you take 2000 points of damage.",,,Adds from Graveyard to hand/Exchanges cards,Effect
Gravity Axe - Grarl,12,Yes,,,SPELL,,,,,,,,,Equip,,,The equipped monster gains 500 ATK. Monsters your opponent controls cannot change their battle positions.,,,Prevents Battle Position changes,Continuous-like
Great Mammoth of Goldfine,12,Yes,,,DARK,[Zombie/Fusion],6,,,,,2200,1800,,,,"The Snake Hair + ""Dragon Zombie""",,,,
Great Moth,12,Yes,,,EARTH,[Insect/Effect],8,,,,,2600,2500,,,,"This monster cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Petit Moth"" on the 4th of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"".",Petit Moth/Cocoon of Evolution,,Tributes for cost,Summon
Great White,12,Yes,,,WATER,[Fish/Normal],4,,,,,1600,800,,,,A giant white shark with razor-sharp teeth.,,,,
Great White Terror,12,No,,,,,,,,,,,,,,,,,,,
Griffore,12,Yes,,,EARTH,[Beast/Normal],4,,,,,1200,1500,,,,This monster's tough hide deflects almost any attack.,,,,
Ground Attacker Bugroth,12,Yes,,,EARTH,[Machine/Normal],4,,,,,1500,1000,,,,A surface battle robot that was once used for sea warfare.,,,,
Guardian Dreadscythe,12,Yes,,,DARK,[Fiend/Effect],8,,,,,2500,2000,,,,"Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect. If a ""Guardian Eatos"" is destroyed by battle or card effect and sent to your GY: You can Special Summon this card from your hand. When this card is Special Summoned: You can equip 1 ""Reaper Scythe - Dreadscythe"" from your Deck to this card. You cannot Normal or Special Summon monsters (but you can Normal Set). If this card is sent from the field to the GY: Send 1 card from your hand to the GY, and if you do, Special Summon this card from the GY.",Guardian Eatos/Reaper Scythe - Dreadscythe,,Activates from your hand/Activates if destroyed by battle/Activates if destroyed by card effect/Activates upon Special Summon/Places cards from Deck in Spell & Trap Zone/Activates from your Graveyard/Sends from your hand to your Graveyard,Summon/Trigger/Continuous
Guardian Elma,12,Yes,,,WIND,[Fairy/Effect],3,,,,,1300,1200,,,,"Cannot be Summoned unless you control a face-up ""Butterfly Dagger - Elma"". When this card is Normal or Special Summoned: You can target 1 appropriate Equip Spell Card in your Graveyard; equip that target to this card.",Equip Spell Card,,Places cards from Graveyard in Spell & Trap Zone,Summon/Trigger
Guardian Formation,12,No,,,,,,,,,,,,,,,,,,,
Guardian Grarl,12,Yes,,,EARTH,[Dinosaur/Effect],5,,,,,2500,1000,,,,"Cannot be Summoned unless you control a face-up ""Gravity Axe - Grarl"". If this is the only card in your hand, you can Special Summon it (from your hand).",Gravity Axe - Grarl,,Requires control of specific card,Summon
Guardian Kay'est,12,Yes,,,WATER,[Sea Serpent/Effect],4,,,,,1000,1800,,,,"Cannot be Summoned unless you control a face-up ""Rod of Silence - Kay'est"". This card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.",Rod of Silence - Kay'est,,,Summon/Continuous
Guardian Treasure,12,No,,,,,,,,,,,,,,,,,,,
Gust Fan,12,Yes,,,SPELL,,,,,,,,,Equip,,,A WIND monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,WIND,WIND,,Continuous-like
Hand Control,12,No,,,,,,,,,,,,,,,,,,,
Happy Lover,12,Yes,,,LIGHT,[Fairy/Normal],2,,,,,800,500,,,,Enemies become overjoyed when struck by the Heart Ray emitted from the forehead of this tiny cherub.,,,,
Harpie Lady,12,Yes,,,WIND,[Winged Beast/Normal],4,,,,,1300,1400,,,,This human-shaped animal with wings is beautiful to watch but deadly in battle.,,,,
